Input File,D-1,D-3,D-5,D-7,D-10,rajeshParMDSResults
Antwerp1.vrp,517251.0,521022.0,531135.0,533823.0,545795.0,519191.0
Antwerp2.vrp,331759.0,333524.0,344078.0,350994.0,356619.0,331521.0
Brussels1.vrp,552695.0,557511.0,567100.0,575887.0,586477.0,553231.0
Brussels2.vrp,394683.0,402950.0,410499.0,416721.0,431210.0,394235.0
CMT4.vrp,1203.73,1223.56,1260.59,1284.19,1353.86,1215.0
CMT5.vrp,1497.15,1516.76,1590.12,1661.89,1682.6,1493.0
E-n101-k14.vrp,1227.02,1201.54,1276.12,1277.0,1266.87,1264.0
E-n101-k8.vrp,946.085,917.088,963.373,984.604,1015.62,933.0
E-n76-k8.vrp,824.947,835.258,836.222,870.393,867.639,823.0
F-n135-k7.vrp,1263.68,1277.67,1271.22,1376.54,1404.17,1293.0
Ghent1.vrp,508837.0,510771.0,518945.0,523270.0,533530.0,508726.0
Ghent2.vrp,294756.0,296986.0,306217.0,312070.0,317866.0,293644.0
Golden_10.vrp,958.569,859.709,854.609,875.81,922.29,826.0
Golden_11.vrp,1196.9,1071.82,1063.37,1117.74,1121.81,1034.0
Golden_12.vrp,1441.68,1272.98,1303.87,1329.13,1339.53,1251.0
Golden_13.vrp,1086.48,978.127,1005.77,1027.93,1026.76,1018.0
Golden_14.vrp,1347.66,1280.68,1280.11,1296.88,1317.89,1350.0
Golden_15.vrp,1706.48,1553.1,1555.23,1618.53,1650.07,1700.0
Golden_16.vrp,2087.46,1873.4,1916.92,1921.47,1953.41,2098.0
Golden_17.vrp,797.389,792.978,825.865,822.674,862.779,803.0
Golden_18.vrp,1133.5,1132.03,1154.69,1180.18,1200.69,1135.0
Golden_19.vrp,1564.67,1535.95,1609.07,1630.52,1620.21,1573.0
Golden_20.vrp,2103.94,2106.96,2142.08,2167.67,2266.72,2101.0
Golden_9.vrp,730.075,686.298,660.159,686.279,696.785,641.0
Leuven1.vrp,209963.0,212153.0,214693.0,216502.0,219941.0,210919.0
Leuven2.vrp,127813.0,130109.0,132816.0,134441.0,139436.0,127937.0
P-n101-k4.vrp,781.284,729.421,820.4,832.614,860.339,801.0
tai385.vrp,29155.2,28334.3,29171.4,29485.3,29548.7,29132.0
Flanders1.vrp,7696340.0,7762310.0,7826170.0,7868750.0,7985380.0,7718700.0
Flanders2.vrp,4874620.0,4942830.0,5014060.0,5087470.0,5179920.0,4898640.0